comm_date,author,author_id,likes,comment,replies,video_id
2024-08-22T16:20:55Z,@denmasbagusdalu,UCNj9dutqjnP54ZTfvaCxpfQ,1,"Saudaraku.. 

Jangan mudah di provokasi
Kalo gak suka jangan dipilih...
Tinggalkan saja

Kalo kita selalu bertengkar, kapan kita mau maju..

Sekali lagi.. kalo gak suka gak usah dipilih..","{'comments': [{'kind': 'youtube#comment', 'etag': 'Jj0zhUQX_tTS5McgDAEDbMkNTMQ', 'id': 'Ugz-vy047i__F2x5dFp4AaABAg.A7S8c0rDQduA7aJNwtgyv7', 'snippet': {'channelId': 'UC5BMIWZe9isJXLZZWPWvBlg', 'videoId': 'rONUSWIPhbA', 'textDisplay': 'yg.bikin gaduh bukan rakya,paling bisa bikin gado gado.', 'textOriginal': 'yg.bikin gaduh bukan rakya,paling bisa bikin gado gado.', 'parentId': 'Ugz-vy047i__F2x5dFp4AaABAg', 'authorDisplayName': '@user-zp3nf7pb1f', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AIdro_mOOgQ2hqo_8db1L3DjyuhCoR3sEsRjEbbW34gOXd4maa9Sgm2SsTXc4jkocSqBJa1XlQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/@user-zp3nf7pb1f', 'authorChannelId': {'value': 'UC_b2DJFz12T_UoGx5wtmSQw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2024-08-26T05:48:08Z', 'updatedAt': '2024-08-26T05:48:08Z'}}, {'kind': 'youtube#comment', 'etag': 'KjsbnsrjNjaaFtRaVH7hRjqcJSM', 'id': 'Ugz-vy047i__F2x5dFp4AaABAg.A7S8c0rDQduA7aJ_Ufo_5B', 'snippet': {'channelId': 'UC5BMIWZe9isJXLZZWPWvBlg', 'videoId': 'rONUSWIPhbA', 'textDisplay': 'saya sejak awal tidak pernah pilih Mukidi', 'textOriginal': 'saya sejak awal tidak pernah pilih Mukidi', 'parentId': 'Ugz-vy047i__F2x5dFp4AaABAg', 'authorDisplayName': '@user-zp3nf7pb1f', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AIdro_mOOgQ2hqo_8db1L3DjyuhCoR3sEsRjEbbW34gOXd4maa9Sgm2SsTXc4jkocSqBJa1XlQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/@user-zp3nf7pb1f', 'authorChannelId': {'value': 'UC_b2DJFz12T_UoGx5wtmSQw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2024-08-26T05:49:51Z', 'updatedAt': '2024-08-26T05:49:51Z'}}]}",rONUSWIPhbA
2024-08-22T16:17:02Z,@hendrikusmale3027,UCbEXDFHwtYdANjS0n-011Ow,2,"terimakasih PDI perjuangan yg selalu konsisten. mana partai lain? Andaikata berhasil ini diobrak-abrik oleh DPR, sudah bisa dibayangkan kedepannya. tiap ada yg kurang pas menurut DPR, ya tinggal diganti. gila benar. apa gak malu itu DPR. Masyarakat sekarang banyak pengangguran, kerja susah, di PHK sana-sini, koruptor merajalela. DPR itu peduli gak, atau hanya mikirin pribadi dan golongan?",0,rONUSWIPhbA
2024-08-22T16:13:43Z,@agusgunarso5613,UCS25Q1Jyi6qSNx5JoEZQxDA,0,"ngapai pemerintah patuh dgn mahasiswa
mahasiswa itu tak lebih mcm def colektor aja",0,rONUSWIPhbA
2024-08-22T15:50:15Z,@ishaqsaptaindra1009,UCaEqAyxTWkWJP9IMFdo-o8g,3,"Benar kata Gus dur, ..DPR seperti taman kanak-kanak",0,rONUSWIPhbA
2024-08-22T15:43:39Z,@widyaprawira-nh6vr,UCIzP1_rHW7IkmmWIL6_om9Q,2,"penyesalan terbesarku dlm hidup, telah memilih mas joko","{'comments': [{'kind': 'youtube#comment', 'etag': 'Jj_hpUPmYwWjR9nRBIIhceiLACM', 'id': 'Ugwy__i6KF1OJla7msJ4AaABAg.A7S4M49PibIA7TkAX_ZigE', 'snippet': {'channelId': 'UC5BMIWZe9isJXLZZWPWvBlg', 'videoId': 'rONUSWIPhbA', 'textDisplay': 'sama', 'textOriginal': 'sama', 'parentId': 'Ugwy__i6KF1OJla7msJ4AaABAg', 'authorDisplayName': '@liotaihai1691', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AIdro_k8ICIIOCvwVmJO2AG5toFUHpDEK_ArP3L8LDU9j7Y=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/@liotaihai1691', 'authorChannelId': {'value': 'UCU7qv6zoWJStenLtAEW86EA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2024-08-23T07:17:03Z', 'updatedAt': '2024-08-23T07:17:03Z'}}, {'kind': 'youtube#comment', 'etag': 'T-j2XBBB7p0Gi5sOzhytK1Wnqxk', 'id': 'Ugwy__i6KF1OJla7msJ4AaABAg.A7S4M49PibIA7VpzMcAO1F', 'snippet': {'channelId': 'UC5BMIWZe9isJXLZZWPWvBlg', 'videoId': 'rONUSWIPhbA', 'textDisplay': 'Sama', 'textOriginal': 'Sama', 'parentId': 'Ugwy__i6KF1OJla7msJ4AaABAg', 'authorDisplayName': '@subijantoro8757', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AIdro_ndDU63mSYuKXMFNIRg2KfrAddnziU9dj3r9HaROQQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/@subijantoro8757', 'authorChannelId': {'value': 'UCR9Rm4QSGzAuTHUF6uOrwfg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2024-08-24T02:46:18Z', 'updatedAt': '2024-08-24T02:46:18Z'}}]}",rONUSWIPhbA
2024-08-22T15:40:59Z,@widyaprawira-nh6vr,UCIzP1_rHW7IkmmWIL6_om9Q,1,Uang menghalalkan segala cara,0,rONUSWIPhbA
2024-08-22T15:26:44Z,@supriyadisonsy2091,UCP_VtMw3aXUUqC_7nj3DfYg,3,Ini yg tdk berani demo hanya kampus * dari solo,0,rONUSWIPhbA
2024-08-22T14:54:34Z,@mustofatofa2985,UCCA8GSHesoNXzDDbcPMB03w,0,Gara² pinokio,0,rONUSWIPhbA
2024-08-22T14:39:19Z,@Noventh,UCq4B7iQdWaIXcaTPsK3EXbQ,0,Malas nyoblos anggota DPR yahh ini,0,rONUSWIPhbA
2024-08-22T14:36:59Z,@lumoshiki3596,UCGAP7kl54_yYgapa07xGu0g,0,KOMPAS MEMASAK,0,rONUSWIPhbA
